Year,Area_1000hectares,Yeild_kt,Area_hectares,Yeild_t,Yield_per_hectare_t
1989,3076.358,4841.223,3076358,4841223,1.573686483
1990,3234.096,5826.706,3234096,5826706,1.801649054
1991,2834.755,3909.599,2834755,3909599,1.379166454
1992,3005.767,5950.707,3005767,5950707,1.979763235
1993,3289.14,7619.149,3289140,7619149,2.316456277
1994,2579.453,1528.143,2579453,1528143,0.592429093
1995,3837.823,6961.863,3837823,6961863,1.81401357
1996,4676.443,11286.144,4676443,11286144,2.413403521
1997,4543.845,8557.372,4543845,8557372,1.883288713
1998,4925.747,9717.859,4925747,9717859,1.972870105
1999,4977.248,11525.912,4977248,11525912,2.315719852
2000,5395.149,10829.162,5395149,10829162,2.007203508
2001,5308.641,11169.933,5308641,11169933,2.104104045
2002,4784.829,3484.555,4784829,3484555,0.728250686
2003,6101.873,10795.045,6101873,10795045,1.769136296
2004,6438.776,10712.18,6438776,10712180,1.663698194
2005,5592.936,11981.269,5592936,11981269,2.142214572
2006,5671.152,3794.097,5671152,3794097,0.669016983
2007,6311.97,3999.205,6311970,3999205,0.633590622
2008,6295.016,9438.381,6295016,9438381,1.49934186
2009,6105.974,7786.963,6105974,7786963,1.275302351
2010,6157.614,14783.65,6157614,14783650,2.40087313
2011,5969.049,11952.068,5969049,11952068,2.002340406
2012,5852.155,11123.416,5852155,11123416,1.900738446
2013,5313.871,9772.994,5313871,9772994,1.83914777
2014,5491.147,10444.88,5491147,10444880,1.90213083
2015,5375.137,11623.81,5375137,11623810,2.162514183
2016,6062.344,15510.172,6062344,15510172,2.55844472
2017,5489.351,7743.55,5489351,7743550,1.410649456